Ticker,Company,Sector
MMM,3M,Conglomerate
AXP,American Express,Financial Services
AMGN,Amgen,Biopharmaceutical
AAPL,Apple,Information Technology
BA,Boeing,Aerospace and defense
CAT,Caterpillar,Construction and Mining
CVX,Chevron,Petroleum Industry 
CSCO,Cisco,Information Technology
KO,Coca-Cola,Drink Industry
DIS,Disney,Broadcasting and entertainment
DOW,Dow,Chemical Industry 
GS,Goldman Sachs,Financial Services
HD,Home Depot,Home Improvement
HON,Honeywell,Conglomerate 
IBM,IBM,Information Technology
INTC,Intel,Semiconductor industry
JNJ,Johnson & Johnson,Pharmaceutical industry
JPM,JPMorgan Chase,Financial Services
MCD,McDonald's,Food industry
MRK,Merck,Pharmaceutical industry
MSFT,Microsoft,Information Technology
NKE,Nike,Clothing Industry
PG,Proctor & Gamble,Fast-moving consumer goods 
CRM,Salesforce,Information Technology
TRV,Travelers,Insurance
UNH,UnitedHealth,Managed healthcare
VZ,Verizon,Telecommunications industry
V,Visa,Financial Services
WBA,Walgreens Boots Alliance ,Retailing
WMT,Walmart,Retailing
